City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Edson,53.5835,-116.4356,59.14,36,1,8.05,CA,1634854598
Guangzhou,23.1167,113.25,60.94,71,95,12.75,CN,1634854289
Nikolskoye,59.7035,30.7861,53.87,85,100,16.4,RU,1634854598
Havre-St-Pierre,50.2334,-63.5986,50.0,87,1,4.61,CA,1634854598
Kuril'sk,45.2333,147.8833,41.11,84,100,4.29,RU,1634854599
Atuona,-9.8,-139.0333,77.88,78,10,19.91,PF,1634854599
Hermanus,-34.4187,19.2345,60.8,76,100,4.83,ZA,1634854600
Punta Arenas,-53.15,-70.9167,48.31,49,40,24.16,CL,1634854317
Souillac,-20.5167,57.5167,74.35,83,75,3.44,MU,1634854600
Taoudenni,22.6783,-3.9836,78.76,26,1,10.0,ML,1634854601
Hasaki,35.7333,140.8333,54.0,78,100,18.21,JP,1634854601
Chokurdakh,70.6333,147.9167,-16.06,97,96,3.44,RU,1634854601
Aklavik,68.2191,-135.0107,36.43,85,61,10.83,CA,1634854602
Ponta do Sol,32.6667,-17.1,71.71,63,5,6.69,PT,1634854602
Beira,-19.8436,34.8389,71.28,72,11,8.05,MZ,1634854602
New Norfolk,-42.7826,147.0587,62.71,71,91,1.01,AU,1634854603
Port Alfred,-33.5906,26.891,66.72,81,100,13.85,ZA,1634854603
Jamestown,42.097,-79.2353,61.3,98,90,4.0,US,1634854586
Tiksi,71.6872,128.8694,10.13,94,100,11.68,RU,1634854603
Tuatapere,-46.1333,167.6833,56.86,54,1,2.24,NZ,1634854604
Lebu,-37.6167,-73.65,51.93,66,1,18.5,CL,1634854604
Chui,-33.6971,-53.4616,57.97,78,4,6.89,UY,1634854604
Gelemso,8.8167,40.5167,62.01,44,69,4.56,ET,1634854605
Albany,42.6001,-73.9662,67.64,62,96,4.54,US,1634854058
Orchard Homes,46.8633,-114.0484,68.27,47,1,3.0,US,1634854605
Srednekolymsk,67.45,153.6833,-11.83,99,84,2.57,RU,1634854338
Coimbra,40.2056,-8.4195,58.62,85,0,5.48,PT,1634854606
Salalah,17.0151,54.0924,74.41,76,55,3.11,OM,1634854420
Upernavik,72.7868,-56.1549,18.54,85,88,4.47,GL,1634854606
Barrow,71.2906,-156.7887,28.87,92,100,9.98,US,1634854354
Mataura,-46.1927,168.8643,57.0,54,6,3.62,NZ,1634854607
Khatanga,71.9667,102.5,-2.97,100,87,4.59,RU,1634854607
Jega,12.2175,4.3792,85.46,46,29,5.01,NG,1634854607
Arraial do Cabo,-22.9661,-42.0278,67.96,68,75,5.75,BR,1634854608
Mezen',65.8522,44.24,29.3,97,99,5.06,RU,1634854608
Torbay,47.6666,-52.7314,48.76,73,40,20.71,CA,1634854608
Ahipara,-35.1667,173.1667,62.58,90,100,13.33,NZ,1634854609
Koson,39.0375,65.585,39.52,42,53,8.14,UZ,1634854609
Ushuaia,-54.8,-68.3,40.66,81,40,29.93,AR,1634854610
Cumberland,35.0502,-78.8664,79.48,49,1,10.36,US,1634854610
Busselton,-33.65,115.3333,47.05,81,35,6.4,AU,1634854610
Sidi Ali,36.0998,0.4206,65.08,75,31,3.0,DZ,1634854610
Waipawa,-41.4122,175.5153,57.04,59,100,7.65,NZ,1634854611
Rikitea,-23.1203,-134.9692,74.55,79,100,21.52,PF,1634854611
Tahe,52.3333,124.7333,29.57,77,30,4.05,CN,1634854611
Hithadhoo,-0.6,73.0833,80.74,77,100,9.28,MV,1634854612
Iqaluit,63.7506,-68.5145,29.93,86,75,1.99,CA,1634854612
Almaznyy,48.0448,40.045,48.34,90,78,17.76,RU,1634854612
Kapaa,22.0752,-159.319,82.38,68,1,3.0,US,1634854613
Kavieng,-2.5744,150.7967,81.34,79,100,10.51,PG,1634854613
Avarua,-21.2078,-159.775,77.05,65,20,10.36,CK,1634854519
Carnarvon,-24.8667,113.6333,62.67,72,0,18.41,AU,1634854614
Verāval,20.9,70.3667,76.82,68,7,9.35,IN,1634854614
Bredasdorp,-34.5322,20.0403,63.72,88,100,6.91,ZA,1634854614
Digby,44.6169,-65.7655,57.69,83,76,4.27,CA,1634854615
Bluff,-46.6,168.3333,49.37,66,3,3.04,NZ,1634854615
Buraidah,26.326,43.975,75.65,38,0,10.83,SA,1634854615
Moerai,-22.4333,-151.3333,73.96,74,37,9.84,PF,1634854616
Ranau,5.9538,116.6641,66.85,95,100,1.36,MY,1634854616
Pochutla,15.7432,-96.4661,84.81,80,100,3.2,MX,1634854616
Longyearbyen,78.2186,15.6401,17.44,79,75,6.91,SJ,1634854616
Codrington,-38.2667,141.9667,57.7,89,51,0.96,AU,1634854617
Tarifa,36.0139,-5.607,66.22,86,3,12.21,ES,1634854333
Saint-François,46.4154,3.9054,54.84,79,75,4.61,FR,1634854617
Severo-Kuril'sk,50.6789,156.125,38.55,64,97,7.65,RU,1634854617
Spornoye,50.8448,37.2913,51.82,62,99,20.02,RU,1634854618
Cidreira,-30.1811,-50.2056,64.96,82,10,16.08,BR,1634854618
Olafsvik,64.8945,-23.7142,39.4,58,69,15.64,IS,1634854618
Port Hardy,50.6996,-127.4199,51.8,93,90,26.46,CA,1634854619
Iringa,-7.7667,35.7,61.11,74,39,8.95,TZ,1634854619
Coyhaique,-45.5752,-72.0662,49.95,57,40,8.05,CL,1634854620
Port Hawkesbury,45.6169,-61.3485,53.19,78,90,3.44,CA,1634854620
Venado Tuerto,-33.7456,-61.9688,77.79,32,0,8.37,AR,1634854620
Smolenka,52.1352,113.4974,17.67,93,19,0.0,RU,1634854621
